ticker,status,row_count,anomaly_count,error,output_file
P05PFL221025,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL221025_2021-04-24_to_2026-04-24.csv
P05PFL270629,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PFL270629_2021-04-24_to_2026-04-24.csv
P05PIB131027,saved,22,1,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PIB131027_2021-04-24_to_2026-04-24.csv
P05PIB150131,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PIB150131_2021-04-24_to_2026-04-24.csv
P05PIB151025,saved,20,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PIB151025_2021-04-24_to_2026-04-24.csv
P05PIB160130,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PIB160130_2021-04-24_to_2026-04-24.csv
P05PIB170129,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PIB170129_2021-04-24_to_2026-04-24.csv
P05PIB170730,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PIB170730_2021-04-24_to_2026-04-24.csv
P05PIB200929,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PIB200929_2021-04-24_to_2026-04-24.csv
P05PIB290427,saved,20,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05PIB290427_2021-04-24_to_2026-04-24.csv
P05VRR020530,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05VRR020530_2021-04-24_to_2026-04-24.csv
P05VRR090130,saved,17,3,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05VRR090130_2021-04-24_to_2026-04-24.csv
P05VRR100529,saved,46,33,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05VRR100529_2021-04-24_to_2026-04-24.csv
